,0,1
0,ADP,At
0,DET,that
0,NOUN,time
0,NOUN,highway
0,NOUN,engineers
0,VERB,traveled
0,ADJ,rough
0,CONJ,and
0,ADJ,dirty
0,NOUN,roads
0,PRT,to
0,VERB,accomplish
0,DET,their
0,NOUN,duties
0,.,.
0,VERB,Using
0,ADJ,privately-owned
0,NOUN,vehicles
0,VERB,was
0,DET,a
0,ADJ,personal
0,NOUN,hardship
0,ADP,for
0,ADJ,such
0,NOUN,employees
0,.,","
0,CONJ,and
0,DET,the
0,NOUN,matter
0,ADP,of
0,VERB,providing
0,NOUN,state
0,NOUN,transportation
0,VERB,was
0,VERB,felt
0,ADV,perfectly
0,ADJ,justifiable
0,.,.
0,ADP,Once
0,DET,the
0,NOUN,principle
0,VERB,was
0,VERB,established
0,.,","
0,DET,the
0,NOUN,increase
0,ADP,in
0,ADJ,state-owned
0,NOUN,vehicles
0,VERB,came
0,ADV,rapidly
0,.,.
0,CONJ,And
0,NOUN,reasons
0,ADJ,other
0,ADP,than
0,NOUN,employee
0,NOUN,need
0,VERB,contributed
0,ADP,to
0,DET,the
0,NOUN,growth
0,.,.
0,NOUN,Table
0,NUM,1
0,ADV,immediately
0,ADV,below
0,VERB,shows
0,DET,the
0,NOUN,rate
0,ADP,of
0,NOUN,growth
0,ADP,of
0,NOUN,vehicles
0,CONJ,and
0,NOUN,employees
0,.,.
0,DET,This
0,NOUN,rate
0,ADP,of
0,NOUN,increase
0,VERB,does
0,ADV,not
0,VERB,signify
0,NOUN,anything
0,ADP,in
0,PRON,itself
0,.,.
0,PRON,It
0,VERB,does
0,ADV,not
0,VERB,indicate
0,ADJ,loose
0,NOUN,management
0,.,","
0,ADJ,ineffective
0,NOUN,controls
0,CONJ,or
0,ADJ,poor
0,NOUN,policy
0,.,.
0,CONJ,But
0,PRON,it
0,VERB,does
0,VERB,show
0,ADP,that
0,NOUN,automobiles
0,VERB,have
0,VERB,increased
0,ADV,steadily
0,ADP,over
0,DET,the
0,NOUN,years
0,CONJ,and
0,ADP,in
0,ADV,almost
0,DET,the
0,ADJ,same
0,NOUN,proportion
0,ADP,to
0,DET,the
0,NOUN,increase
0,ADP,of
0,NOUN,state
0,NOUN,employees
0,.,.
0,ADP,In
0,DET,the
0,ADJ,past
0,NUM,twenty
0,NOUN,years
0,DET,the
0,NOUN,ratio
0,ADP,of
0,ADJ,state-owned
0,NOUN,automobiles
0,ADP,per
0,NOUN,state
0,NOUN,employees
0,VERB,has
0,VERB,varied
0,ADP,from
0,NUM,1
0,ADP,to
0,NUM,22
0,ADV,then
0,ADP,to
0,NUM,1
0,ADP,to
0,NUM,23
0,ADV,now
0,.,.
0,ADP,Whether
0,PRT,there
0,VERB,were
0,ADV,too
0,ADJ,few
0,NOUN,automobiles
0,ADP,in
0,NUM,1940
0,CONJ,or
0,ADV,too
0,ADJ,many
0,ADV,now
0,VERB,is
0,ADJ,problematical
0,.,.
0,DET,The
0,NOUN,fact
0,VERB,is
0,ADV,simply
0,ADP,that
0,ADJ,state-owned
0,NOUN,vehicles
0,VERB,have
0,VERB,remained
0,ADP,in
0,ADV,practically
0,DET,the
0,ADJ,same
0,NOUN,proportion
0,ADP,as
0,NOUN,employees
0,PRT,to
0,VERB,use
0,PRON,them
0,.,.
0,NOUN,History
0,CONJ,and
0,NOUN,operation
0,ADP,of
0,DET,the
0,NOUN,motor
0,NOUN,pool
0,.,.
0,ADP,While
0,DET,the
0,NOUN,origin
0,ADP,of
0,ADJ,state-owned
0,NOUN,automobiles
0,VERB,may
0,VERB,be
0,VERB,obscured
0,.,","
0,ADJ,subsequent
0,NOUN,developments
0,ADP,concerning
0,DET,the
0,NOUN,assignment
0,.,","
0,NOUN,use
0,.,","
0,CONJ,and
0,NOUN,management
0,ADP,of
0,NOUN,state
0,NOUN,automobiles
0,VERB,can
0,VERB,be
0,VERB,related
0,ADV,more
0,ADV,clearly
0,.,.
0,ADV,Prior
0,ADP,to
0,NUM,1942
0,.,","
0,NOUN,automobiles
0,VERB,were
0,DET,the
0,ADJ,individual
0,NOUN,responsibility
0,ADP,of
0,DET,the
0,NOUN,agency
0,ADP,to
0,DET,which
0,VERB,assigned
0,.,.
0,DET,This
0,NOUN,responsibility
0,VERB,included
0,PRT,all
0,NOUN,phases
0,ADP,of
0,NOUN,management
0,.,.
0,PRON,It
0,VERB,embraced
0,VERB,determining
0,ADV,when
0,PRT,to
0,VERB,purchase
0,CONJ,and
0,ADV,when
0,PRT,to
0,VERB,trade
0,NOUN,vehicles
0,.,","
0,PRON,who
0,VERB,was
0,PRT,to
0,VERB,drive
0,.,","
0,ADV,when
0,CONJ,and
0,ADV,where
0,NOUN,repairs
0,VERB,were
0,PRT,to
0,VERB,be
0,VERB,made
0,.,","
0,ADV,where
0,NOUN,gasoline
0,CONJ,and
0,NOUN,automobile
0,NOUN,services
0,VERB,were
0,PRT,to
0,VERB,be
0,VERB,obtained
0,CONJ,and
0,ADJ,other
0,VERB,allied
0,NOUN,matters
0,.,.
0,ADP,In
0,NUM,1942
0,.,","
0,ADV,however
0,.,","
0,DET,the
0,NOUN,nation
0,VERB,was
0,ADP,at
0,NOUN,war
0,.,.
0,NOUN,Gasoline
0,CONJ,and
0,NOUN,automobile
0,NOUN,tires
0,VERB,were
0,VERB,rationed
0,NOUN,commodities
0,.,.
0,DET,The
0,NOUN,state
0,VERB,was
0,VERB,confronted
0,ADP,with
0,NOUN,transportation
0,NOUN,problems
0,ADJ,similar
0,ADP,to
0,DET,those
0,ADP,of
0,DET,the
0,NOUN,individual
0,.,.
0,PRON,It
0,VERB,met
0,DET,these
0,NOUN,problems
0,ADP,by
0,DET,the
0,NOUN,creation
0,ADP,of
0,DET,the
0,NOUN,state
0,NOUN,automobile
0,NOUN,maintenance
0,NOUN,unit
0,.,(
0,ADV,more
0,ADV,popularly
0,VERB,called
0,DET,the
0,NOUN,motor
0,NOUN,pool
0,.,)
0,.,","
0,DET,a
0,VERB,centralized
0,NOUN,operation
